age,annual_income,total_debt,credit_limit,current_balance,num_late_payments_12m,employment_years,credit_risk
,190849.3,479266.7,41900.0,17803.46,2.0,36.4,0
69.0,23594.16,50936.59,6300.0,2157.72,0.0,20.4,1
46.0,55136.18,111996.89,11100.0,6219.02,0.0,23.5,0
32.0,70179.19,,20900.0,7286.35,0.0,2.6,0
60.0,46451.24,100123.55,13500.0,3699.81,0.0,28.2,0
25.0,24288.42,22374.73,10600.0,7000.42,1.0,6.8,1
38.0,115181.18,170384.07,32300.0,8040.72,0.0,2.0,0
56.0,66314.28,69272.83,25600.0,2067.87,1.0,0.3,1
36.0,25332.97,26309.83,11000.0,4421.68,3.0,7.8,1
40.0,70488.21,61687.72,29100.0,7015.3,1.0,2.0,0
28.0,150382.85,330913.25,32000.0,9309.34,0.0,7.5,0
28.0,53008.65,104277.47,15800.0,2350.3,2.0,9.1,1
41.0,54104.49,73337.16,13800.0,,1.0,10.0,0
53.0,138801.9,239755.47,37500.0,,0.0,9.1,0
57.0,30265.68,75258.89,7800.0,765.37,1.0,16.9,0
41.0,152745.93,161665.69,50000.0,9861.0,0.0,16.6,0
20.0,97124.28,141222.7,27700.0,7409.58,0.0,0.0,0
39.0,31115.73,45459.31,9600.0,3956.86,2.0,12.4,0
19.0,36280.61,86617.45,16100.0,1723.33,0.0,0.6,0
41.0,39541.75,35975.79,6600.0,1222.31,0.0,14.7,0
61.0,18031.25,45114.83,5300.0,656.32,2.0,10.4,1
47.0,63340.68,54890.81,24200.0,6641.42,2.0,20.7,0
55.0,31972.51,9833.37,6200.0,1128.29,0.0,3.4,1
19.0,64726.81,33458.71,21600.0,2491.21,0.0,0.2,0
38.0,24970.09,28560.75,,,0.0,17.5,1
50.0,94259.6,168301.67,38700.0,15187.33,1.0,23.6,0
29.0,84336.97,114515.66,20900.0,5546.98,0.0,0.2,0
39.0,35471.07,40735.52,8800.0,7368.05,0.0,5.2,1
61.0,67224.26,101573.7,22100.0,7118.02,2.0,9.2,0
42.0,56939.94,120824.29,11700.0,1420.34,2.0,6.5,0
66.0,131844.66,288287.87,31000.0,11766.43,0.0,11.9,0
44.0,29158.82,55065.3,8000.0,2125.43,0.0,1.6,1
59.0,49445.25,121355.75,12700.0,3620.62,0.0,18.8,0
45.0,36886.09,59946.63,11300.0,5520.77,1.0,19.8,0
33.0,55652.98,4064.1,18400.0,2998.67,1.0,9.1,0
32.0,,55816.82,23900.0,1554.73,0.0,9.4,0
64.0,36640.72,32243.0,12700.0,2177.21,1.0,3.7,1
68.0,43544.39,62623.55,10600.0,3041.1,0.0,47.6,0
61.0,96724.74,221223.14,18200.0,2410.14,0.0,36.1,0
69.0,122319.87,274368.81,46300.0,18073.53,0.0,41.1,0
20.0,72846.49,52936.16,29500.0,,1.0,1.6,1
54.0,49872.36,66329.77,11300.0,1571.73,0.0,33.6,0
68.0,47105.35,80983.24,12800.0,3359.67,2.0,27.2,0
24.0,75272.93,200895.72,22500.0,,0.0,1.2,0
38.0,62109.87,12979.14,19300.0,8118.6,2.0,,0
26.0,20143.05,24992.66,7000.0,1632.9,0.0,5.9,0
56.0,76376.56,192824.79,12400.0,4153.94,,28.0,0
35.0,32327.0,81058.64,11800.0,2083.31,0.0,,0
21.0,23152.04,19917.03,3900.0,774.55,0.0,0.2,0
42.0,19910.31,4653.92,5800.0,4653.09,3.0,,1
31.0,47588.07,71103.6,19000.0,1299.68,0.0,12.0,0
67.0,29439.29,66744.0,8400.0,2938.84,0.0,28.6,0
26.0,15000.0,13108.0,2900.0,946.85,1.0,4.3,1
43.0,43692.28,108041.52,19500.0,5990.56,0.0,6.7,0
19.0,40362.54,38636.46,16800.0,5064.67,0.0,0.4,0
37.0,49516.41,85755.42,18900.0,10217.97,1.0,17.0,0
45.0,37147.85,69223.6,10200.0,2167.45,0.0,18.0,0
64.0,162364.29,151369.85,33300.0,11161.89,2.0,36.2,0
24.0,73895.14,65569.85,32000.0,503.99,0.0,2.7,0
61.0,40144.15,48925.31,12400.0,1756.45,,,0
25.0,52147.1,115292.56,21200.0,6406.36,1.0,1.7,0
64.0,126599.72,35907.79,32000.0,3988.59,0.0,32.5,0
52.0,96179.71,160284.41,24100.0,8445.65,0.0,14.5,0
31.0,,43416.64,10400.0,3721.12,2.0,5.8,0
,30194.82,45277.48,9300.0,3165.31,0.0,10.4,0
53.0,,80864.75,6500.0,1574.53,0.0,32.8,0
67.0,41613.5,64674.56,9000.0,2047.21,2.0,3.1,1
57.0,37901.5,60746.04,11200.0,617.51,2.0,32.2,0
21.0,55293.22,85551.17,9000.0,2644.51,,0.9,0
19.0,84240.64,160982.32,24300.0,8924.01,1.0,0.4,1
23.0,93115.52,39244.81,25700.0,7723.01,2.0,0.1,1
59.0,44530.14,105346.41,17100.0,5790.79,0.0,12.3,0
21.0,20316.4,,5200.0,297.7,1.0,1.5,0
46.0,29020.39,51900.13,12900.0,5413.53,1.0,1.6,0
35.0,39661.46,62331.45,8100.0,1304.27,3.0,8.3,0
43.0,25667.46,,8400.0,1826.11,0.0,23.2,0
,107421.47,20513.47,19000.0,9580.39,0.0,4.5,0
51.0,26696.17,12443.92,9900.0,3177.99,0.0,25.2,0
27.0,78451.65,74684.81,35200.0,21402.01,0.0,3.7,0
53.0,19749.27,45167.1,7800.0,1614.74,2.0,22.9,0
31.0,80363.93,179465.5,25500.0,7540.05,4.0,3.4,1
48.0,49833.3,12612.42,14700.0,4657.09,0.0,4.8,0
65.0,134257.98,108191.58,,11100.23,1.0,7.5,0
32.0,27475.84,62278.58,11800.0,1191.8,2.0,1.0,1
25.0,38620.21,25642.86,17300.0,,1.0,1.3,0
31.0,43379.42,108812.46,11700.0,801.47,0.0,8.6,0
40.0,49439.25,35688.05,22100.0,3943.08,0.0,19.4,0
57.0,44020.53,82903.77,8700.0,1563.38,1.0,31.8,0
38.0,44533.32,50085.76,10100.0,3653.19,1.0,13.7,1
33.0,44097.68,20180.31,7800.0,5160.14,1.0,1.7,0
62.0,15635.39,11180.63,3600.0,1207.03,0.0,12.7,0
,98321.77,170129.58,37400.0,,0.0,5.3,0
64.0,300000.0,278293.62,50000.0,25501.32,0.0,11.5,0
41.0,64793.64,105623.98,24900.0,7764.81,1.0,11.8,0
,27406.88,14525.42,9300.0,,0.0,13.4,1
42.0,29122.8,40097.08,8900.0,7437.25,1.0,8.6,0
62.0,78268.81,109552.43,28400.0,9320.26,1.0,15.6,0
58.0,68273.82,76841.49,18200.0,,1.0,33.1,0
,45680.46,24800.38,18400.0,,1.0,22.1,0
32.0,85139.18,107636.12,30100.0,9395.4,1.0,4.3,0
62.0,15703.97,29456.53,5600.0,2253.31,0.0,40.2,0
18.0,85172.79,215390.4,26500.0,9931.13,1.0,0.0,1
42.0,62483.43,127391.56,26000.0,,0.0,7.8,0
24.0,29804.99,13787.27,6700.0,1755.7,1.0,2.1,0
26.0,22925.51,18020.39,6100.0,2390.82,,4.0,1
41.0,58267.3,,22300.0,6000.95,0.0,21.6,0
18.0,126038.52,54452.32,37500.0,11709.66,0.0,0.0,0
,47246.98,30874.86,19700.0,1264.83,1.0,4.4,0
25.0,32480.3,17050.22,8200.0,848.45,0.0,2.7,0
41.0,60765.23,36704.83,15800.0,4248.72,2.0,12.7,0
28.0,161542.43,97837.58,50000.0,4639.62,0.0,5.0,1
68.0,70177.28,62054.58,20300.0,9302.55,0.0,9.7,0
34.0,74879.93,27301.17,22800.0,3791.48,1.0,13.7,0
25.0,112834.7,83954.67,28200.0,5581.1,1.0,4.7,0
52.0,71936.17,128587.47,16800.0,4783.19,1.0,28.5,0
52.0,33908.4,22481.27,11800.0,2441.32,4.0,29.2,1
50.0,19020.28,8762.19,3500.0,591.15,0.0,23.9,0
22.0,31163.67,11286.23,12900.0,6012.12,,1.8,1
59.0,27921.83,38605.89,10700.0,3705.59,,25.0,0
56.0,80465.59,178919.98,16700.0,9543.39,0.0,6.1,0
58.0,87466.3,36312.42,31300.0,23407.5,0.0,26.9,0
45.0,60194.92,88061.99,19900.0,6448.81,0.0,4.8,0
24.0,25305.7,43363.89,5200.0,2202.97,0.0,4.2,1
26.0,158254.25,243189.69,36700.0,8790.75,1.0,1.8,0
25.0,42204.15,96937.27,11500.0,4338.92,1.0,0.8,1
29.0,77814.93,180952.72,28000.0,12406.44,2.0,1.8,0
51.0,55803.67,10950.03,19100.0,2955.1,1.0,0.1,0
50.0,,58210.44,19000.0,2803.72,3.0,23.0,1
,76184.28,130156.0,29000.0,2389.28,0.0,34.4,0
40.0,35681.51,88944.81,13500.0,3983.15,1.0,11.3,0
41.0,118567.95,245822.89,39800.0,7298.32,1.0,3.7,0
54.0,21000.4,12678.35,8100.0,3407.23,0.0,3.0,0
52.0,29052.69,25269.09,7300.0,4989.67,0.0,0.7,0
61.0,117648.62,,48800.0,13354.18,2.0,7.1,1
57.0,77188.28,92494.17,25800.0,1513.34,0.0,34.7,0
39.0,248757.71,362973.47,50000.0,22609.21,0.0,5.1,0
44.0,56444.34,90263.05,17700.0,4329.39,0.0,9.2,0
52.0,150280.31,45191.31,32400.0,6384.61,4.0,3.6,1
18.0,17774.37,39022.26,5600.0,986.8,2.0,0.0,0
52.0,23199.62,50491.24,6100.0,430.26,0.0,17.7,0
54.0,92717.76,123551.28,33300.0,15016.0,1.0,21.9,0
64.0,19068.24,33009.63,5600.0,3127.54,1.0,11.3,0
31.0,48126.08,86043.27,19300.0,6646.77,0.0,0.8,0
20.0,109133.31,65623.8,,13861.17,0.0,0.8,0
18.0,73181.85,22358.36,26000.0,,3.0,0.0,0
22.0,54538.23,3931.67,11700.0,1113.01,0.0,0.9,0
43.0,41379.28,101394.59,18400.0,6958.61,0.0,,0
31.0,61165.31,55313.42,24600.0,2449.27,3.0,8.0,1
56.0,76599.74,29234.44,29600.0,12797.87,1.0,21.2,0
44.0,36441.5,47033.06,9100.0,4596.94,0.0,10.8,0
26.0,67713.55,23096.35,21000.0,10294.24,1.0,3.4,0
32.0,103472.22,26622.22,19800.0,4569.51,1.0,7.6,0
32.0,47406.43,64929.96,14800.0,6989.19,0.0,9.8,0
43.0,56436.63,77413.46,10900.0,5620.89,0.0,17.6,1
59.0,,,22900.0,5270.29,0.0,7.0,0
30.0,75417.95,,26000.0,2480.35,1.0,6.0,0
68.0,91772.88,164889.24,24500.0,11567.19,0.0,20.6,0
49.0,29477.28,33550.67,8800.0,1641.76,,27.0,0
